,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,cluster
127,전라북도 진안군,1,-64.327,2,5.228,1.0,52.783,45720,-11.31,11.03,0.44,29.0,14.73,22.78,0.5,204.44,-0.29,98.14,155.55,42.22,1.78,0
128,전라북도 무주군,1,-51.105,5,2.164,2.0,58.899,45730,-4.2,17.97,0.51,13.0,21.6,4.97,0.61,187.37,-0.13,92.89,126.54,40.85,0.89,0
129,전라북도 장수군,1,-55.332,1,-2.216,1.0,63.932,45740,-1.44,15.84,0.34,50.0,13.82,38.1,0.93,194.79,-2.56,89.14,141.27,27.48,0.48,1
130,전라북도 임실군,1,-62.662,4,-3.344,2.0,56.466,45750,-5.51,12.93,0.46,30.0,17.51,9.16,0.64,188.59,-3.15,97.83,143.39,20.65,2.34,0
131,전라북도 순창군,1,-56.573,5,-1.539,1.0,64.699,45770,-5.82,15.18,0.36,46.0,15.13,7.46,1.09,176.91,-2.04,87.51,147.04,25.66,0.77,1
132,전라북도 고창군,0,-56.381,3,1.429,0.0,39.304,45790,-7.48,13.8,0.48,46.0,16.3,10.7,1.29,110.13,-1.92,96.68,119.96,29.32,1.16,0
133,전라북도 부안군,1,-55.255,3,2.286,1.0,65.603,45800,-5.98,14.1,0.46,35.0,18.27,77.68,1.43,105.34,-1.29,94.29,102.25,29.48,0.82,1
134,전라남도 목포시,1,-5.65,5,0.05,0.0,76.896,46110,-4.35,21.58,0.38,170.0,15.4,34.99,12.91,56.12,-0.96,77.73,41.14364285714286,17.83,0.09,1
135,전라남도 여수시,1,-14.268,5,3.159,0.0,64.636,46130,-4.49,36.85,0.61,210.0,61.86,24.64,3.02,67.65,-0.11,74.41,41.14364285714286,30.89,0.23,2
136,전라남도 순천시,1,-3.01,1,2.599,0.0,62.635,46150,-2.73,25.03,0.43,387.0,19.89,38.38,1.53,55.29,-0.02,86.35,41.14364285714286,41.0,0.45,1
137,전라남도 나주시,1,-46.032,0,8.09,0.0,66.78,46170,-0.3,22.57,0.6,1299.0,52.33,21.64,1.4,102.74,0.87,93.32,41.14364285714286,24.85,0.28,1
138,전라남도 광양시,1,-5.044,1,2.475,0.0,55.643,46230,-4.38,31.57,0.67,276.0,89.38,75.92,3.18,74.33,-0.13,98.79,41.14364285714286,31.12,0.35,2
139,전라남도 담양군,1,-49.828,2,6.831,1.0,53.368,46710,-5.47,17.85,0.58,113.0,20.93,26.01,0.87,155.39,-0.09,86.53,41.14364285714286,19.6,0.71,0
140,전라남도 곡성군,1,-55.894,5,2.485,2.0,62.975,46720,-8.07,17.89,0.55,45.0,38.61,23.58,0.63,225.04,-1.53,92.58,41.14364285714286,27.25,1.1,1
141,전라남도 구례군,1,-50.837,2,2.511,1.0,64.713,46730,-9.57,8.75,0.42,12.0,17.75,37.23,0.53,230.22,-1.33,98.11,41.14364285714286,27.66,2.55,1
142,전라남도 고흥군,1,-61.736,5,1.427,1.0,66.562,46770,-5.51,12.32,0.43,45.0,14.47,20.21,0.71,135.84,-0.17,79.45,41.14364285714286,18.02,0.85,1
143,전라남도 보성군,1,-66.928,5,-6.837,2.0,67.252,46780,-8.9,14.47,0.47,37.0,14.98,28.01,0.63,169.97,-2.21,93.06,41.14364285714286,26.29,1.33,1
144,전라남도 화순군,1,-34.382,5,2.485,0.0,62.818,46790,-4.81,21.26,0.53,114.0,29.58,30.04,0.64,124.9,-1.41,88.99,41.14364285714286,55.34,1.03,1
145,전라남도 장흥군,1,-59.469,4,3.907,1.0,65.189,46800,-5.91,11.33,0.5,34.0,14.31,29.94,0.82,175.39,-1.17,95.08,41.14364285714286,29.42,1.44,1
146,전라남도 강진군,1,-56.182,5,2.725,0.0,66.329,46810,-5.17,11.23,0.45,33.0,14.58,65.95,1.33,186.06,-1.65,94.14,41.14364285714286,27.38,1.87,1
147,전라남도 해남군,1,-55.086,5,0.713,1.0,66.173,46820,-7.94,21.67,0.46,66.0,17.78,19.66,0.55,128.87,-1.53,91.24,41.14364285714286,15.51,0.79,1
148,전라남도 영암군,1,-35.938,5,2.606,1.0,62.117,46830,-5.59,12.4,0.89,138.0,76.37,51.23,1.48,139.9,0.14,87.56,41.14364285714286,24.16,0.78,2
149,전라남도 무안군,1,-23.291,2,4.545,0.0,64.636,46840,-2.17,24.52,0.36,159.0,17.92,12.1,1.55,94.13,-0.72,83.34,41.14364285714286,19.38,0.25,1
150,전라남도 함평군,1,-60.75,5,-3.406,1.0,50.311,46860,-4.96,9.93,0.48,40.0,16.32,16.22,1.85,199.17,-0.75,91.68,41.14364285714286,21.3,1.69,0
151,전라남도 영광군,1,-56.026,5,-0.549,1.0,53.921,46870,-2.85,14.15,0.5,64.0,40.35,25.09,1.16,139.01,-0.37,90.34,41.14364285714286,60.16,1.23,0
152,전라남도 장성군,1,-50.029,2,4.624,0.0,58.224,46880,-5.05,17.97,0.61,127.0,29.04,9.8,1.7,152.03,0.38,88.71,41.14364285714286,51.66,1.48,0
153,전라남도 완도군,1,-57.772,5,2.009,0.0,67.059,46890,-4.28,11.37,0.38,26.0,11.75,35.96,0.9,158.4,-0.95,80.48,41.14364285714286,23.51,0.66,1
154,전라남도 진도군,1,-60.693,5,4.429,1.0,75.011,46900,-4.46,13.85,0.38,12.0,10.33,30.35,0.79,218.68,-0.78,88.22,41.14364285714286,55.31,1.47,1
155,전라남도 신안군,1,-69.208,5,-3.68,2.0,73.347,46910,-7.07,8.55,0.26,16.0,10.67,68.63,0.73,231.95,-1.47,89.13,41.14364285714286,29.47,0.88,1
156,경상북도 포항시,1,-1.894,4,1.943,0.0,54.311,47110,-3.49,31.89,0.49,1907.0,48.41,27.89,2.19,43.65,-0.54,93.09,14.35,19.51,0.6457142857142857,0
157,경상북도 경주시,1,-8.936,5,3.38,0.0,57.774,47130,-5.08,28.4,0.61,517.0,51.69,13.51,1.54,68.03,-0.21,82.55,27.59,20.46,0.12,0
158,경상북도 김천시,1,-17.083,1,2.212,0.0,60.173,47150,-3.36,27.6,0.52,302.0,41.92,33.72,1.27,85.16,0.36,80.96,43.49,20.94,0.07,0
159,경상북도 안동시,1,-24.562,4,1.168,0.0,68.168,47170,-4.32,14.08,0.41,338.0,20.49,48.16,0.83,89.28,-0.97,86.65,37.28,37.79,0.19,1
160,경상북도 영주시,1,-31.13,5,0.179,1.0,65.612,47210,-5.08,17.88,0.45,63.0,25.68,20.82,1.22,102.15,-1.01,87.19,40.42,17.27,0.48,1
161,경상북도 영천시,1,-32.704,2,1.262,1.0,59.207,47230,-1.42,18.84,0.59,221.0,38.02,6.37,0.95,111.28,1.22,80.03,47.39,29.02,0.52,0
162,경상북도 상주시,1,-45.875,5,1.893,1.0,63.214,47250,-4.79,15.26,0.39,99.0,15.5,25.16,0.63,126.49,1.1,87.04,66.08,64.5,0.21,1
163,경상북도 문경시,1,-49.114,4,2.044,1.0,65.134,47280,-3.74,20.64,0.44,71.0,17.42,16.95,0.35,136.87,1.22,83.01,63.99,34.96,0.59,1
164,경상북도 경산시,1,1.501,0,3.395,0.0,53.38,47290,-0.5,31.91,0.47,876.0,33.25,18.31,3.02,45.06,0.74,88.48,17.16,13.51,0.11,0
165,경상북도 군위군,1,-52.283,2,1.792,1.0,62.886,47720,-6.52,12.59,0.49,15.0,23.52,39.31,0.66,246.54,0.73,95.61,104.86,82.49,0.47,1
166,경상북도 의성군,1,-59.144,5,1.664,1.0,71.297,47730,-3.6,15.95,0.39,39.0,12.96,35.08,0.81,184.08,0.51,85.82,108.72,76.18,0.41,1
167,경상북도 청송군,1,-56.599,5,0.991,1.0,55.901,47750,-8.29,10.35,0.5,12.0,14.75,18.93,0.54,225.52,-0.11,85.77,101.55,19.89,0.85,0
168,경상북도 영양군,1,-61.919,5,2.231,0.0,59.38,47760,-9.77,11.81,0.28,6.0,10.86,41.29,0.34,311.89,-0.9,94.71,111.75,15.78,2.53,0
169,경상북도 영덕군,1,-54.021,5,1.967,1.0,62.302,47770,-4.52,13.42,0.43,13.0,14.09,56.78,0.19,176.28,-1.06,89.07,72.67,38.23,1.17,1
170,경상북도 청도군,1,-44.302,5,6.693,0.0,67.233,47820,-5.47,15.27,0.49,70.0,14.88,35.35,0.3,155.48,0.72,90.74,87.11,56.47,0.76,1
171,경상북도 고령군,1,-22.48,5,1.922,0.0,69.355,47830,-7.16,20.68,0.88,59.0,39.29,26.08,2.52,195.94,-1.18,94.55,72.6,27.56,1.01,1
172,경상북도 성주군,1,-39.115,3,3.44,1.0,55.122,47840,-7.04,15.91,0.71,103.0,34.02,12.17,0.94,158.44,-0.77,88.08,77.43,15.38,0.26,0
173,경상북도 칠곡군,0,2.909,3,3.052,0.0,46.288,47850,-6.63,27.53,0.65,238.0,37.79,37.27,2.45,71.17,-1.48,76.61,26.08,18.21,0.18,0
174,경상북도 예천군,1,-57.174,1,5.809,1.0,66.642,47900,6.74,13.05,0.29,44.0,12.56,19.33,1.26,131.26,3.79,95.6,72.52,15.88,0.77,1
175,경상북도 봉화군,1,-60.147,5,1.373,0.0,65.723,47920,-6.3,8.97,0.44,21.0,21.47,22.84,0.84,204.83,-1.15,79.5,92.86,23.8,1.01,1
176,경상북도 울진군,1,-45.262,5,3.256,0.0,71.432,47930,-4.61,16.54,0.47,49.0,50.91,27.1,0.67,148.36,-0.89,90.28,58.6,23.04,0.66,1
177,경상북도 울릉군,1,-50.165,5,-1.574,2.0,71.953,47940,-3.24,16.13,0.45,4.0,15.41,24.66,1.17,473.31,-1.91,94.98,35.59,29.66,1.19,1
178,경상남도 창원시,1,-3.716,5,1.138,0.0,64.423,48110,-4.26,39.06,0.5,2418.0,45.54,17.68,4.44,38.71,-0.94,79.74,11.96,12.27,0.54,1
179,경상남도 진주시,1,1.493,2,2.484,0.0,67.511,48170,-2.7,35.17,0.44,858.0,25.45,31.04,2.33,34.32,0.42,84.69,17.26,13.11,0.12,1
180,경상남도 통영시,1,-9.416,5,3.291,0.0,68.661,48220,-5.87,18.74,0.34,77.0,16.17,39.13,2.32,61.88,-1.44,66.63,23.12,41.66,0.24,1
181,경상남도 사천시,1,-12.298,5,3.338,0.0,62.726,48240,-5.99,22.6,0.62,189.0,55.07,26.44,2.57,65.81,-1.33,85.57,37.14,43.91,0.47,2
182,경상남도 밀양시,1,-33.599,3,3.115,1.0,58.838,48270,-4.94,18.42,0.44,134.0,24.99,19.2,1.1,72.42,-0.52,91.1,46.94,10.48,0.1,0
183,경상남도 거제시,1,7.656,3,1.774,0.0,52.769,48310,-3.43,32.43,0.56,576.0,65.01,33.83,2.81,37.48,-1.13,64.09,15.17,12.88,0.17,2
184,경상남도 의령군,0,-53.086,5,3.644,1.0,44.413,48720,-6.6,16.0,0.41,38.0,20.84,70.52,0.99,173.67,-0.57,86.83,124.85,18.81,0.4,0
185,경상남도 함안군,0,-9.067,4,4.242,1.0,32.753,48730,-4.97,25.42,0.94,136.0,60.02,23.44,1.64,82.41,-1.52,87.36,58.77,14.09,0.16,0
186,경상남도 창녕군,1,-40.231,2,3.362,0.0,64.405,48740,-3.3,18.44,0.58,60.0,33.81,59.26,1.63,89.29,-0.94,95.06,71.84,24.63,0.86,1
187,경상남도 고성군,1,-37.472,5,-0.045,2.0,68.671,48820,-5.22,17.82,0.51,55.0,37.86,26.19,2.5,108.03,-0.94,64.68,70.53,12.84,0.61,1
188,경상남도 남해군,1,-51.875,4,2.376,0.0,68.59,48840,-4.66,17.78,0.44,38.0,12.25,26.33,0.81,110.51,0.49,92.68,70.26,14.64,0.98,1
189,경상남도 하동군,1,-46.866,4,1.748,0.0,65.348,48850,-6.46,12.68,0.4,36.0,28.4,28.71,1.23,119.06,-1.16,99.23,95.39,15.78,0.96,1
190,경상남도 산청군,1,-46.969,2,0.497,1.0,64.946,48860,-7.53,14.97,0.47,74.0,17.09,15.5,0.9,135.03,-0.56,90.55,113.9,78.39,1.84,1
191,경상남도 함양군,1,-46.142,5,0.359,1.0,59.075,48870,-9.09,17.07,0.42,38.0,16.86,30.79,0.79,126.89,-0.05,89.24,118.17,23.69,0.54,0
192,경상남도 거창군,1,-34.529,2,1.128,1.0,64.6,48880,-2.29,24.57,0.41,32.0,17.55,13.35,0.98,89.12,0.25,89.11,78.64,13.87,0.51,1
193,경상남도 합천군,1,-55.243,5,-5.056,2.0,71.404,48890,-7.67,12.69,0.38,34.0,13.19,7.39,1.04,127.39,-0.27,93.1,129.8,16.83,0.96,1
194,제주특별자치도 제주시,1,9.994,0,4.473,0.0,51.365,49110,-2.12,36.52,0.49,711.0,23.13,15.14,2.15,21.72,0.5,75.68,8.81,18.27,0.34,0
195,제주특별자치도 서귀포시,1,-13.827,0,6.965,0.0,58.264,49130,-1.51,36.52,0.46,180.0,21.5,16.73,1.86,47.45,0.26,50.47,11.64,29.39,0.77,0
197,인천광역시 중구,0,-10.148714285714286,2,1.2202857142857142,0.7142857142857143,64.66157142857142,28110,6.63,50.2,0.94,121.0,176.24,0.74,1.06,49.13,9.54,82.79,9.79,20.54,0.55,2
198,인천광역시 옹진군,0,-10.148714285714286,2,1.2202857142857142,0.7142857142857143,64.66157142857142,28720,-6.38,12.71,0.36,9.0,45.96,4.264444444444445,0.08,247.51,-1.91,96.18,42.77,37.42,0.2033333333333333,1
199,울산광역시 북구,0,-4.337666666666666,4,0.481,0.6666666666666666,64.93333333333334,31200,2.86,32.2,0.58,293.0,108.51,19.57,1.59,29.27,4.71,83.75,7.81,17.61,0.05,2
204,경상북도 구미시,0,-36.79540909090909,3,2.2769090909090908,0.5454545454545454,62.38577272727273,47190,-3.17,44.24,0.54,1546.0,69.02,39.79,3.25,41.06,-0.74,81.74,11.9,22.09,0.6457142857142857,2
205,대전광역시 유성구,0,-14.74575,4,0.47575,0.75,72.344,30200,-3.59,31.4,0.53,8198.0,64.0,12.86,2.21,17.27,-0.54,58.12,6.84,17.32,0.06,2
209,경상남도 양산시,0,-29.46,3,1.7121875,0.625,61.1958125,48330,-1.95,39.27,0.5,643.0,39.34,17.2,3.42,31.81,0.27,81.12,10.49,19.24,0.09,0
211,인천광역시 서구,0,-10.148714285714286,2,1.2202857142857142,0.7142857142857143,64.66157142857142,28260,-1.92,40.02,0.44,1323.0,32.77,7.79,6.17,17.11,0.72,62.11,7.97,15.18,0.02,1
212,광주광역시 광산구,0,-21.0535,3,-0.0245000000000001,0.5,67.556,29200,-3.45,22.37,0.48,957.0,38.19,11.09,1.9,22.17,-0.07,84.07,12.42,17.69,0.0733333333333333,1
213,울산광역시 울주군,0,-4.337666666666666,4,0.481,0.6666666666666666,64.93333333333334,31710,-3.2,45.97,0.62,942.0,78.35,60.78,0.81,46.99,0.51,80.99,21.76,16.71,0.14,2
217,강원도 원주시,0,-31.520941176470583,3,2.284588235294118,0.5294117647058824,50.20923529411765,42130,-1.9,25.53,0.5,792.0,31.76,17.18,1.8,49.94,1.43,87.01,16.88,22.81,0.09,0
218,부산광역시 강서구,0,-26.445714285714285,4,-0.2130714285714286,1.0,80.67085714285714,26440,6.3,49.75,1.39,765.0,129.68,105.1,4.11,50.71,4.47,85.26,15.48,24.99,0.33,2
224,충청남도 아산시,0,-32.10658333333333,3,2.4686666666666666,0.5833333333333334,56.826,44200,-1.24,40.86,0.7,1268.0,100.35,17.15,1.74,34.37,0.26,87.13715189873419,19.11,14.15,0.16,2
225,충청남도 당진시,0,-32.10658333333333,3,2.4686666666666666,0.5833333333333334,56.826,44830,-4.08,32.26,0.68,221.0,85.61,21.6,2.38,49.01,-0.52,87.13715189873419,24.91,14.39,0.62,2
226,경상남도 김해시,0,-29.46,3,1.7121875,0.625,61.1958125,48250,-1.64,39.93,0.51,1220.0,30.76,24.74,4.62,27.88,1.42,88.26,11.85,13.0,0.17,0
227,부산광역시 기장군,0,-26.445714285714285,4,-0.2130714285714286,1.0,80.67085714285714,26710,-2.51,39.6,0.52,323.0,37.07,59.6,2.95,47.72,-0.25,88.63,21.39,24.11,0.38,1
228,충청남도 계룡시,0,-32.10658333333333,3,2.4686666666666666,0.5833333333333334,56.826,44250,-5.34,22.13,0.23,86.0,8.64,26.45,3.61,79.83,-1.83,87.13715189873419,12.73,28.4,0.24,0
