,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,건축허가면적증감률,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수
0,서울특별시 종로구,1.0,-45.047,2.0,-2.564,4.0,76.602,11110.0,-6.05,53.58,2.09,1685.0,294.28,7.59,13.77,88.29,-22.75,-1.1,85.64,7.05,33.43,0.35
1,서울특별시 중구,1.0,-43.708,2.0,-7.973,3.0,83.795,11140.0,-4.95,66.01,3.86,1977.0,574.34,12.81,19.21,103.8,-26.14,0.19,81.09,6.33,40.71,0.17
2,서울특별시 용산구,1.0,-34.927,4.0,-1.781,2.0,82.572,11170.0,-1.41,46.45,0.78,1218.0,81.41,3.26,13.31,61.11,-24.05,-0.25,91.0,6.24,11.76,0.1
3,서울특별시 성동구,1.0,-31.23,1.0,2.66,0.0,80.584,11200.0,-5.62,39.16,0.73,1607.0,46.12,4.93,14.79,45.33,-34.39,-2.68,73.24,7.22,12.23,0.07
4,서울특별시 광진구,1.0,-8.694,2.0,-1.62,2.0,71.326,11215.0,-5.42,33.34,0.4,970.0,17.43,1.82,27.96,40.52,17.83,-1.38,93.13,4.6,14.52,0.06
5,서울특별시 동대문구,1.0,-33.892,5.0,-3.877,3.0,81.185,11230.0,-5.6,26.71,0.45,639.0,23.17,2.94,13.95,40.02,7.9,-0.58,92.1,6.62,10.63,0.12
6,서울특별시 중랑구,1.0,-11.352,5.0,-1.54,1.0,75.818,11260.0,-5.99,25.23,0.27,269.0,11.16,5.37,17.11,36.68,-17.19,-1.62,92.9,7.33,12.76,0.05
7,서울특별시 성북구,1.0,-23.652,4.0,-5.75,4.0,77.175,11290.0,-1.99,25.8,0.28,2089.0,12.42,7.46,25.69,34.44,12.28,1.51,93.6,6.0,12.68,0.1117391304347826
8,서울특별시 강북구,1.0,-19.047,5.0,-2.888,1.0,79.188,11305.0,-6.7,24.29,0.26,219.0,9.12,5.42,5.61,44.49,-1.58,-1.45,90.76,6.36,12.56,0.03
9,서울특별시 도봉구,1.0,-8.455,5.0,-0.415,1.0,74.064,11320.0,-5.87,25.27,0.23,289.0,9.42,6.78,8.88,40.16,177.68,-1.72,82.32,7.71,12.21,0.12
10,서울특별시 노원구,1.0,-7.936,5.0,0.293,0.0,70.157,11350.0,-6.26,20.58,0.24,966.0,11.02,3.52,7.38,30.18,60.3,-2.03,88.88,6.78,12.53,0.04
11,서울특별시 은평구,1.0,-2.578,4.0,0.437,1.0,68.463,11380.0,-4.43,22.8,0.21,353.0,9.88,7.23,4.83,31.27,24.54,-0.69,92.76,5.82,11.71,0.07
12,서울특별시 서대문구,1.0,-26.403,2.0,-0.431,1.0,77.054,11410.0,-1.97,32.19,0.42,1476.0,28.8,4.84,19.92,43.69,-41.73,-0.3,89.82,6.14,13.66,0.3
13,서울특별시 마포구,1.0,-16.282,2.0,2.279,1.0,68.128,11440.0,-2.45,38.93,0.84,1797.0,67.86,8.54,19.93,40.79,16.63,-0.48,84.87,6.06,16.03,0.17
14,서울특별시 양천구,1.0,-6.286,5.0,-0.852,1.0,69.57,11470.0,-4.62,28.9,0.29,658.0,15.36,3.75,19.32,30.66,25.26,-1.4,85.32,7.58,14.28,0.02
15,서울특별시 강서구,1.0,2.839,2.0,5.94,0.0,60.138,11500.0,-4.68,28.23,0.54,1792.0,48.3,5.82,11.07,28.78,32.1,-1.1,73.43,6.09,13.7,0.07
16,서울특별시 구로구,1.0,-5.962,4.0,0.085,0.0,72.966,11530.0,-2.99,27.04,0.7,1685.0,41.52,3.04,32.06,36.2,16.75,0.28,84.97,7.03,17.02,0.03
17,서울특별시 금천구,1.0,-28.739,4.0,2.573,0.0,73.975,11545.0,-4.86,29.72,1.35,1947.0,82.49,0.39,16.14,51.31,10.25,-0.56,89.99,6.08,18.36,0.27
18,서울특별시 영등포구,1.0,-23.957,4.0,-4.774,3.0,79.464,11560.0,-3.69,42.61,1.33,14750.0,171.47,2.25,14.88,41.17,16.03,-0.37,94.4,7.95,23.21,0.03
19,서울특별시 동작구,1.0,-6.983,2.0,-0.4,1.0,70.629,11590.0,-3.04,31.44,0.3,944.0,18.32,11.68,15.94,34.57,-0.16,-0.22,93.24,5.39,10.54,0.05
20,서울특별시 관악구,1.0,-13.697,4.0,-2.941,2.0,67.15,11620.0,-6.51,25.37,0.22,1376.0,11.2,1.81,12.2,30.84,-13.33,-0.44,91.44,4.56,11.54,0.02
21,서울특별시 서초구,1.0,4.548,3.0,-1.339,2.0,63.83,11650.0,-2.99,62.78,1.4,5352.0,125.18,5.43,8.59,39.54,0.96,-1.0,91.85,4.41,25.39,0.35
22,서울특별시 강남구,1.0,-0.311,4.0,-3.139,1.0,59.366,11680.0,-1.27,66.23,1.83,5363.0,192.19,8.27,15.36,33.4,5.06,0.34,88.45,4.72,28.61,0.1117391304347826
23,서울특별시 송파구,1.0,-3.366,2.0,2.428,0.0,59.529,11710.0,-1.27,46.89,0.65,2315.0,51.01,3.33,14.94,25.81,-78.51,1.03,89.74,4.19,13.97,0.06
24,서울특별시 강동구,1.0,-17.699,5.0,-2.255,2.0,68.272,11740.0,-2.79,41.12,0.39,533.0,27.17,8.25,14.77,33.58,-3.84,1.84,94.33,5.07,13.58,0.02
25,부산광역시 중구,1.0,-51.989,5.0,-1.418,1.0,80.871,26110.0,-9.45,31.57,2.03,47.0,100.22,128.84,7.52,120.36,-38.38,-1.39,90.88,10.62,29.59,0.76
26,부산광역시 서구,1.0,-47.947,3.0,-3.793,2.0,85.443,26140.0,-4.81,16.32,0.52,104.0,40.68,9.18,5.8,60.6,-64.91,-1.55,96.9,9.86,14.69,0.1
27,부산광역시 동구,1.0,-55.607,5.0,-3.254,2.0,86.257,26170.0,-1.46,18.93,1.17,88.0,63.02,0.79,9.63,71.67,-13.76,2.03,97.11,12.51,18.52,0.12
28,부산광역시 영도구,1.0,-39.292,5.0,0.13,1.0,83.783,26200.0,-6.89,13.97,0.44,328.0,24.37,7.32,6.98,54.05,-73.3,-2.17,92.79,9.67,11.83,0.17
29,부산광역시 부산진구,1.0,-27.753,5.0,0.653,0.0,83.001,26230.0,-4.9,22.88,0.56,554.0,27.42,13.57,7.5,27.62,-46.72,-1.06,95.83,8.88,15.64,0.06
30,부산광역시 동래구,1.0,-21.775,4.0,-2.614,1.0,82.18,26260.0,-0.37,22.72,0.39,285.0,17.52,18.59,5.83,28.04,-21.69,1.84,93.95,7.36,10.98,0.04
31,부산광역시 남구,1.0,-17.447,3.0,3.299,1.0,79.993,26290.0,-5.2,31.02,0.36,587.0,25.22,8.96,4.87,29.22,-65.11,-1.79,96.74,8.11,11.35,0.04
32,부산광역시 북구,1.0,-9.603,4.0,0.114,0.0,76.534,26320.0,-6.66,15.59,0.21,231.0,12.04,2.89,3.12,28.02,147.05,-1.93,92.5,7.91,11.28,0.04
33,부산광역시 해운대구,1.0,-1.229,5.0,2.464,0.0,78.334,26350.0,-4.55,29.12,0.45,705.0,24.48,5.51,3.53,26.67,61.86,-0.75,94.45,8.25,13.49,0.08
34,부산광역시 사하구,1.0,-13.518,5.0,-0.169,1.0,82.627,26380.0,-6.56,18.88,0.4,582.0,26.08,1.41,4.61,28.12,-44.56,-1.95,89.66,7.55,13.28,0.16
35,부산광역시 금정구,1.0,-22.96,5.0,0.077,1.0,77.082,26410.0,-5.47,22.78,0.44,585.0,21.42,5.71,3.18,32.58,-33.92,-1.38,91.91,7.44,15.43,0.04
36,부산광역시 연제구,1.0,-22.899,2.0,-0.026,1.0,80.542,26470.0,0.06,23.45,0.48,187.0,24.7,0.42,4.85,31.7,3.15,0.73,96.14,7.79,8.33,0.05
37,부산광역시 수영구,1.0,-17.806,1.0,2.147,2.0,79.208,26500.0,-3.11,22.91,0.4,178.0,18.39,0.94,11.88,35.54,-6.64,0.08,97.6,7.06,15.48,0.06
38,부산광역시 사상구,1.0,-20.415,5.0,-0.593,1.0,73.537,26530.0,-6.18,23.22,0.64,507.0,32.77,3.31,4.78,33.81,-53.87,-2.22,92.82,7.6,15.56,0.05
39,대구광역시 중구,1.0,-57.701,2.0,0.959,1.0,80.942,27110.0,-3.75,31.05,1.38,92.0,67.62,0.74,12.29,82.91,403.88,-2.47,96.25,11.38,24.64,0.54
40,대구광역시 동구,1.0,-6.098,1.0,1.047,0.0,71.862,27140.0,-5.12,19.46,0.4,522.0,24.95,6.96,2.1,28.49,-57.57,-1.63,94.38,9.11,12.42,0.06
41,대구광역시 서구,1.0,-50.72,5.0,-3.119,2.0,84.072,27170.0,-9.67,18.14,0.5,196.0,25.6,3.31,8.49,43.05,186.99,-4.63,79.38,9.72,13.5,0.14857142857142858
42,대구광역시 남구,1.0,-42.616,5.0,-0.365,1.0,81.87,27200.0,-6.15,15.37,0.44,145.0,22.29,0.7,6.64,45.66,-76.26,-1.21,94.93,8.99,12.98,0.34
43,대구광역시 북구,1.0,-3.238,2.0,0.393,0.0,62.637,27230.0,-3.59,20.71,0.4,1277.0,18.61,4.32,3.24,25.19,-4.8,-0.46,89.72,8.36,12.28,0.02
44,대구광역시 수성구,1.0,-3.005,5.0,0.696,0.0,74.443,27260.0,-3.95,30.93,0.36,527.0,14.96,9.69,2.6,26.28,-20.29,-0.84,95.11,7.29,14.87,0.02
45,대구광역시 달서구,1.0,-1.397,5.0,0.127,1.0,64.435,27290.0,-4.66,24.98,0.42,1190.0,26.12,4.74,4.95,21.17,3.62,-0.83,83.99,6.31,14.28,0.02
46,대구광역시 달성군,1.0,8.809,0.0,4.115,0.0,51.165,27710.0,1.84,39.12,0.49,848.0,45.28,24.47,1.39,36.63,17.17,1.74,79.69,14.85,13.29,0.04
47,인천광역시 동구,1.0,-54.202,5.0,-3.772,2.0,76.53,28140.0,-8.02,34.4,0.68,407.0,61.64,1.0,7.37,74.99,-90.01,-2.55,90.34,10.04,15.55,0.16
48,인천광역시 미추홀구,1.0,-7.53,2.0,0.271,1.0,74.654,28170.0,-4.14,20.51,0.33,499.0,17.18,2.61,14.07,19.19,-39.78,-1.86,92.97,6.94,17.96,0.03
49,인천광역시 연수구,1.0,11.575,0.0,5.374,0.0,61.195,28185.0,5.84,46.77,0.38,1575.0,38.8,3.79,2.54,18.96,20.9,5.31,87.33,11.9,11.08,0.06
50,인천광역시 남동구,1.0,11.3,1.0,3.108,0.0,59.605,28200.0,-4.5,31.05,0.53,1290.0,33.84,13.4,8.23,15.25,34.4,-1.02,72.33,12.51,16.84,0.02
51,인천광역시 부평구,1.0,-2.164,5.0,-0.208,1.0,73.102,28237.0,-6.48,23.13,0.34,764.0,25.97,5.26,14.01,18.32,-15.27,-2.62,91.5,6.42,11.2,0.02
52,인천광역시 계양구,1.0,-3.908,5.0,0.17,0.0,60.65,28245.0,-8.29,24.04,0.29,280.0,14.65,3.05,5.5,23.56,-52.59,-3.06,88.91,8.5,14.75,0.03
53,인천광역시 강화군,0.0,-26.112,0.0,3.599,1.0,46.895,28710.0,-1.36,19.18,0.36,59.0,12.89,0.74,0.19,86.87,29.67,1.06,92.43,52.81,31.09,0.94
54,광주광역시 동구,1.0,-53.881,4.0,-7.371,1.0,74.845,29110.0,3.0,20.02,0.83,247.0,49.21,3.31,2.25,53.67,74.18,4.57,95.14,16.01,31.23,0.1
55,광주광역시 서구,1.0,-3.299,3.0,2.093,0.0,55.236,29140.0,-6.37,22.52,0.6,475.0,36.97,16.55,4.45,23.61,69.92,-1.1,80.63,10.59,17.76,0.03
56,광주광역시 남구,1.0,-21.787,3.0,4.082,0.0,74.343,29155.0,-1.51,13.13,0.35,160.0,14.06,9.06,3.22,28.87,130.23,0.85,85.27,15.38,20.57,0.09
57,광주광역시 북구,1.0,-5.247,3.0,1.098,1.0,65.8,29170.0,-4.41,16.51,0.42,1618.0,23.19,18.5,3.25,19.53,-8.16,-1.49,90.67,11.39,17.97,0.07333333333333333
58,대전광역시 동구,1.0,-18.552,4.0,0.085,1.0,75.904,30110.0,-3.82,11.49,0.34,334.0,21.51,2.4,1.9,26.52,32.37,-0.77,74.57,10.36,10.31,0.12250000000000001
59,대전광역시 중구,1.0,-19.9,5.0,0.405,1.0,78.286,30140.0,-5.56,14.47,0.47,274.0,27.45,1.99,3.54,24.94,42.85,-1.44,78.29,9.15,16.44,0.09
60,대전광역시 서구,1.0,-4.272,3.0,1.504,0.0,66.08,30170.0,-3.97,21.16,0.42,728.0,22.7,13.64,2.07,15.47,29.6,-0.91,68.49,6.95,15.98,0.06
61,대전광역시 대덕구,1.0,-16.259,5.0,-0.091,1.0,69.106,30230.0,-8.19,20.42,0.61,1097.0,66.39,5.17,3.72,32.19,49.46,-2.66,27.94,10.35,21.67,0.28
62,울산광역시 중구,1.0,-0.849,4.0,2.15,0.0,72.26,31110.0,-7.16,19.51,0.27,282.0,18.41,15.34,5.32,29.66,-76.73,-3.74,86.63,5.36,13.86,0.05
63,울산광역시 남구,1.0,-1.083,5.0,1.814,0.0,61.162,31140.0,-5.9,37.49,0.63,561.0,60.76,36.58,3.88,25.32,19.06,-2.28,80.32,5.46,15.83,0.06
64,울산광역시 동구,1.0,-11.081,5.0,-2.521,2.0,61.378,31170.0,-6.26,22.33,0.56,199.0,86.23,28.44,3.67,33.57,-79.57,-3.37,77.36,5.02,13.8,0.06
65,세종특별자치시 세종시,1.0,0.0,0.0,15.458,0.0,50.8,36110.0,6.08,72.72,0.37,813.0,27.05,66.32,6.45,12.23,-82.48,7.24,84.01,16.38,13.65,0.06
66,경기도 수원시,1.0,7.461,2.0,1.802,0.0,61.906,41110.0,-3.74,55.98,0.42,10518.0,45.72,14.59,12.41,24.28,-44.55,-0.92,89.7,5.91,11.65,0.17043478260869566
67,경기도 성남시,1.0,-2.581,3.0,2.015,0.0,72.721,41130.0,-4.73,64.58,0.62,7172.0,60.98,18.74,9.59,26.13,-34.74,-1.41,90.08,5.74,14.48,0.17043478260869566
68,경기도 의정부시,1.0,-0.169,0.0,1.256,0.0,67.735,41150.0,-2.06,30.02,0.3,351.0,15.11,7.7,8.85,21.38,-47.69,1.05,81.7,9.18,15.29,0.05
69,경기도 안양시,1.0,-5.988,5.0,0.28,1.0,71.952,41170.0,-5.59,47.92,0.55,2344.0,31.44,14.81,10.7,27.26,27.82,-1.98,91.3,6.33,13.68,0.17043478260869566
70,경기도 부천시,1.0,-3.986,3.0,1.192,1.0,66.625,41190.0,-5.69,39.89,0.41,1598.0,21.4,5.37,16.84,11.98,-30.84,-1.82,77.07,7.18,11.01,0.07
71,경기도 광명시,1.0,-5.565,5.0,-0.806,1.0,70.463,41210.0,-6.79,42.47,0.34,426.0,24.92,11.74,13.7,28.41,-5.02,-3.37,85.83,5.29,11.3,0.07
72,경기도 동두천시,1.0,1.888,3.0,2.253,0.0,62.081,41250.0,-5.4,29.96,0.35,84.0,16.97,18.51,3.28,70.81,-3.66,-1.21,75.54,19.36,22.62,0.22
73,경기도 안산시,0.0,-6.31,5.0,1.337,0.0,41.081,41270.0,-5.3,55.85,0.56,2008.0,47.38,14.64,10.29,33.53,-24.28,-1.61,75.14,7.48,15.8,0.17043478260869566
74,경기도 과천시,0.0,-11.107,3.0,-2.235,1.0,48.447,41290.0,-3.41,54.93,0.66,167.0,57.73,142.53,5.41,98.67,195.59,0.18,88.63,7.3,13.85,0.19
75,경기도 구리시,1.0,-4.853,1.0,3.309,0.0,62.749,41310.0,-6.58,35.57,0.38,187.0,16.4,18.63,11.25,41.17,-73.15,-2.3,68.77,9.52,13.56,0.11
76,경기도 군포시,1.0,-0.359,5.0,1.858,0.0,63.868,41410.0,-5.28,43.82,0.49,824.0,27.56,10.09,10.59,34.79,-66.63,-0.71,81.79,6.99,11.67,0.04
77,경기도 의왕시,1.0,5.911,4.0,2.621,0.0,53.231,41430.0,0.53,47.0,0.41,751.0,36.31,14.76,6.92,26.04,-72.05,4.38,84.29,9.09,10.58,0.13
78,경기도 포천시,0.0,3.528,5.0,2.414,0.0,41.678,41650.0,-8.35,26.81,0.82,440.0,36.49,13.87,0.99,49.38,-33.03,-1.21,92.87,29.45,25.19,0.43
79,경기도 연천군,1.0,-34.214,3.0,0.259,1.0,56.087,41800.0,-7.52,20.5,0.39,32.0,14.36,29.34,0.52,135.0,-43.41,-1.45,90.04,32.59,22.14,0.49
80,강원도 춘천시,1.0,0.645,1.0,3.24,0.0,50.187,42110.0,-3.47,26.95,0.45,877.0,20.84,13.77,1.24,59.02,-60.76,0.26,85.5,21.8,24.6,0.22
81,강원도 강릉시,1.0,-6.761,2.0,2.134,1.0,57.406,42150.0,-3.57,20.92,0.46,340.0,22.92,22.69,1.13,64.27,-43.32,0.56,90.55,21.94,22.36,0.47
82,강원도 동해시,1.0,-7.436,5.0,-1.219,1.0,62.311,42170.0,-4.99,20.09,0.44,50.0,28.59,48.82,3.66,76.54,12.35,-0.58,95.09,18.7,25.83,0.12
83,강원도 태백시,1.0,-59.297,5.0,-0.929,1.0,70.049,42190.0,-7.84,22.66,0.49,23.0,20.24,64.21,0.75,149.62,-26.96,-1.89,89.53,31.35,47.74,0.47
84,강원도 속초시,1.0,-10.573,2.0,3.453,0.0,65.555,42210.0,-4.24,23.2,0.45,33.0,19.29,8.56,3.12,81.21,12.78,0.3,64.59,16.32,21.63,0.39
85,강원도 삼척시,1.0,-48.256,5.0,0.832,0.0,55.141,42230.0,-5.82,17.39,0.47,40.0,38.01,19.8,0.7,138.53,-25.19,-1.28,94.71,39.28,20.24,0.91
86,강원도 홍천군,0.0,-26.635,2.0,2.563,0.0,47.077,42720.0,-6.53,16.7,0.45,77.0,23.79,17.38,0.4,119.3,0.09,-0.61,89.24,37.41,47.99,0.61
87,강원도 횡성군,0.0,-30.781,0.0,3.567,0.0,30.922,42730.0,-2.47,18.24,0.51,94.0,26.96,5.0,0.56,139.33,-16.44,0.37,91.44,57.34,44.68,0.92
88,강원도 영월군,0.0,-55.419,4.0,2.003,1.0,47.805,42750.0,-6.81,21.44,0.5,61.0,28.3,33.59,0.29,175.08,-37.84,-0.77,86.19,57.24,70.37,1.12
89,강원도 평창군,0.0,-41.894,5.0,3.134,2.0,42.148,42760.0,-7.63,14.52,0.51,53.0,28.95,33.37,0.5,179.48,-5.7,-0.68,94.88,51.02,43.59,1.28
90,강원도 정선군,0.0,-71.743,5.0,1.991,1.0,40.844,42770.0,-5.84,27.29,0.62,26.0,63.96,56.24,0.46,182.1,44.05,-0.55,93.41,51.7,44.52,0.57
91,강원도 철원군,1.0,-24.145,4.0,1.955,1.0,56.235,42780.0,-4.14,11.96,0.31,50.0,12.07,22.85,0.62,149.41,10.77,-1.68,91.32,34.41,27.1,0.94
92,강원도 화천군,0.0,-25.596,5.0,4.831,0.0,47.364,42790.0,-4.22,14.02,0.28,10.0,9.49,36.66,0.27,213.25,8.93,-0.71,83.03,44.3,38.65,1.3
93,강원도 양구군,0.0,-28.129,4.0,3.003,0.0,47.848,42800.0,-5.47,14.13,0.34,7.0,9.3,41.52,0.37,231.69,-31.31,-2.76,93.33,49.15,42.59,1.4
94,강원도 인제군,0.0,-30.362,4.0,1.267,1.0,33.189,42810.0,-4.93,15.28,0.38,16.0,13.87,39.35,0.28,192.37,-12.71,-1.41,103.27,30.37,34.76,0.67
95,강원도 고성군,1.0,-39.419,3.0,3.383,0.0,60.056,42820.0,-4.74,14.33,0.55,29.0,18.12,21.22,0.55,206.9,4.51,-2.68,94.2,48.59,30.56,1.18
96,강원도 양양군,0.0,-30.055,3.0,3.63,0.0,39.42,42830.0,-2.2,13.58,0.61,25.0,20.81,6.35,0.91,202.61,-0.21,2.03,77.03,58.0,35.57,1.16
97,충청북도 청주시,1.0,22.886,0.0,2.579,0.0,55.331,43110.0,-2.7,37.26,0.47,2040.0,43.79,18.86,3.42,35.97,-40.93,0.07,76.61,32.49872448979592,21.2,0.827
98,충청북도 충주시,1.0,-5.386,1.0,1.898,0.0,56.793,43130.0,-3.67,20.7,0.53,409.0,30.04,30.14,1.75,48.96,-37.45,0.37,88.49,32.49872448979592,23.71,0.19
99,충청북도 제천시,1.0,-11.245,3.0,1.037,0.0,57.456,43150.0,-3.22,18.82,0.47,150.0,23.68,7.6,0.64,62.79,-9.39,-0.23,94.84,32.49872448979592,18.01,0.37
100,충청북도 보은군,1.0,-53.004,4.0,2.028,0.0,62.816,43720.0,-7.56,7.74,0.53,45.0,39.17,34.71,0.79,145.4,36.27,-1.12,92.03,32.49872448979592,69.98,1.28
101,충청북도 옥천군,1.0,-40.337,5.0,1.212,1.0,61.048,43730.0,-5.87,17.47,0.52,86.0,27.88,14.49,1.01,106.93,-28.51,-0.03,93.09,32.49872448979592,67.61,1.04
102,충청북도 영동군,0.0,-42.321,5.0,1.719,0.0,43.836,43740.0,-3.13,16.66,0.37,50.0,17.73,15.13,0.61,106.81,45.17,-1.1,88.5,32.49872448979592,18.33,0.85
103,충청북도 증평군,1.0,-12.124,1.0,4.113,0.0,54.437,43745.0,-3.81,17.63,0.43,40.0,32.9,19.28,3.4,113.31,-6.71,0.1,84.2,32.49872448979592,39.61,0.55
104,충청북도 진천군,1.0,4.706,0.0,5.479,0.0,50.513,43750.0,3.83,27.83,0.9,331.0,97.86,16.06,1.54,75.32,-29.84,3.45,87.9,32.49872448979592,36.07,0.25
105,충청북도 괴산군,1.0,-47.509,1.0,3.028,2.0,51.502,43760.0,-2.64,12.86,0.44,48.0,23.7,17.14,0.61,130.33,11.86,1.04,95.76,32.49872448979592,17.43,1.61
106,충청북도 음성군,0.0,8.648,3.0,5.473,0.0,47.758,43770.0,-7.05,31.06,1.08,467.0,87.06,21.77,1.9,71.29,3.81,-0.54,87.3,32.49872448979592,33.39,0.33
107,충청북도 단양군,1.0,-54.755,3.0,2.946,1.0,67.862,43800.0,-5.97,21.75,0.63,27.0,37.38,31.74,0.75,171.7,10.93,-0.8,87.13,32.49872448979592,27.0,1.8
108,충청남도 천안시,1.0,5.635,0.0,4.318,0.0,50.601,44130.0,-1.47,47.59,0.51,3675.0,44.25,9.89,3.12,24.72,0.19967289719626216,0.61,87.0852336448598,13.73,16.03,0.7064285714285715
109,충청남도 공주시,1.0,-29.52,5.0,2.551,2.0,58.586,44150.0,-1.04,18.66,0.53,392.0,29.71,16.83,1.26,71.15,0.19967289719626216,-0.53,87.0852336448598,44.69,15.99,0.93
110,충청남도 보령시,0.0,-32.272,4.0,2.184,0.0,45.979,44180.0,-6.92,20.37,0.49,149.0,33.57,10.56,2.28,77.73,0.19967289719626216,-0.41,87.0852336448598,44.75,14.6,1.47
111,충청남도 서산시,1.0,4.877,0.0,3.885,0.0,51.703,44210.0,-2.46,39.46,0.53,301.0,70.19,19.55,2.07,49.22,0.19967289719626216,0.23,87.0852336448598,25.68,11.03,0.65
112,충청남도 논산시,1.0,-35.432,5.0,2.852,1.0,65.416,44230.0,-4.6,13.2,0.48,226.0,23.98,10.56,2.41,62.67,0.19967289719626216,-0.66,87.0852336448598,49.67,15.24,0.34
113,충청남도 금산군,1.0,-43.03,5.0,1.975,0.0,67.747,44710.0,-4.08,18.17,0.67,156.0,42.39,24.56,0.26,96.87,0.19967289719626216,-0.99,87.0852336448598,73.44,18.75,0.78
114,충청남도 부여군,1.0,-49.986,5.0,-1.588,2.0,70.87,44760.0,-8.3,14.33,0.35,52.0,18.41,11.11,0.27,86.54,0.19967289719626216,-0.95,87.0852336448598,77.24,14.03,0.47
115,충청남도 서천군,1.0,-51.494,5.0,2.499,1.0,57.181,44770.0,-5.09,13.09,0.64,58.0,37.32,19.06,1.94,99.73,0.19967289719626216,-1.09,87.0852336448598,71.03,17.66,1.61
116,충청남도 청양군,1.0,-49.518,2.0,2.825,0.0,67.642,44790.0,-8.02,15.92,0.47,60.0,22.06,3.41,1.8,153.25,0.19967289719626216,-0.73,87.0852336448598,106.41,20.08,0.67
117,충청남도 홍성군,0.0,-23.559,2.0,2.517,0.0,44.769,44800.0,-3.83,19.3,0.45,115.0,18.89,14.5,0.9,60.08,0.19967289719626216,-0.28,87.0852336448598,41.23,10.58,0.4
118,충청남도 예산군,1.0,-43.194,5.0,2.146,1.0,59.495,44810.0,-3.3,13.82,0.54,99.0,32.62,14.31,1.3,72.91,0.19967289719626216,-0.3,87.0852336448598,53.2,24.08,0.53
119,충청남도 태안군,0.0,-37.786,2.0,3.46,0.0,41.923,44825.0,-4.59,19.71,0.47,59.0,36.72,9.46,2.01,94.52,0.19967289719626216,-0.1,87.0852336448598,43.27,12.39,1.02
120,전라북도 전주시,1.0,0.279,3.0,2.905,0.0,61.189,45110.0,-2.8,30.95,0.42,1633.0,21.82,25.08,7.5,25.37,61.45,0.47,86.26,11.73,17.42,0.773076923076923
